Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Diagram,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Visualize,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Graph,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Estimate,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Forecast,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Predict,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Parameterize,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Optimize,Model / Represent,External,Independent,Hypothetical / Simulated or real world,Modeling task,"Data analysis practicum, Design project, Scenario",Decided by program,Model / Concept map / Diagram,"Dashboard, Technical appendix, Oral defense",Decided by program
Critique,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Audit,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Calibrate,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Benchmark,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Rate,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Score,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Peer-review,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
Rubric-score,Critique / Calibrate,External,Independent or interactive,Real world or simulated,Peer review / Calibration,"Design critique / Studio review, Oral exam / Viva",Decided by program,Peer review report / Calibration note,"Rubric-scored evaluation, Annotated artifact",Decided by program
